sample,replicate,order
SK.Mel.24.P8,r1,1
SK.Mel.28.P8,r1,2
U2.OS.P5,r1,3
A549.P3,r1,4
U251.P4,r1,5
BJ.P5,r1,6
RT4.P4,r1,7
Hep2G.P4,r1,8
Caco2.P7,r1,9
SK.Mel.24.P9,r2,10
SK.Mel.28.P9,r2,11
U2.OS.P6,r2,12
A549.P4,r2,13
U251.P5,r2,14
BJ.P6,r2,15
RT4.P6,r2,16
Hep2G.P5,r2,17
Caco2.P8,r2,18
SK.Mel.24.P10,r3,19
SK.Mel.28.P10,r3,20
U2.OS.P7,r3,21
A549.P6,r3,22
U251.P6,r3,23
BJ.P8,r3,24
RT4.P7,r3,25
Hep2G.P7,r3,26
Caco2.P9,r3,27
