	A549 P3	A549 P4	A549 P6	BJ P5	BJ P6	BJ P8	Caco2 P7	Caco2 P8	Caco2 P9	Hep2G P4	Hep2G P5	Hep2G P7	RT4 P4	RT4 P6	RT4 P7	SK-Mel 24 P10	SK-Mel 24 P8	SK-Mel 24 P9	SK-Mel 28 P10	SK-Mel 28 P8	SK-Mel 28 P9	U2-OS P5	U2-OS P6	U2-OS P7	U251 P4	U251 P5	U251 P6
ENSG00000000003	73.0884	56.3365	47.4302	19.2894	20.1813	14.8649	151.0843	102.4944	121.0637	10.4629	37.4975	27.5466	195.4182	171.0355	208.7356	15.2912	16.1226	15.3079	30.8572	30.8502	33.0151	49.7057	63.9089	58.2988	17.1292	18.759	16.9375
ENSG00000000005	0	0	0	0	0	0	0.16008	0.1248	0.12998	0	0	0.068886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	77.378	63.1412	60.8401	36.5229	36.7966	32.1732	190.129	137.4094	185.6332	7.5093	13.4661	7.8111	67.4521	59.2532	60.3952	68.7481	62.1782	84.9698	94.4	86.3422	112.3257	145.1953	119.466	95.6141	71.0437	103.8482	83.9881
ENSG00000000457	6.9347	5.7381	4.3318	4.3168	4.9727	3.9299	4.2488	2.2501	4.4142	0.71352	0.56357	0.53914	5.4527	6.4477	3.1899	5.092	4.8079	6.3556	6.0799	5.7581	5.7844	3.8662	3.9693	4.4027	3.7425	5.1524	4.6202
ENSG00000000460	7.4797	8.8618	7.6319	0.96343	1.3441	5.3513	7.4296	5.8879	6.0944	0.48528	0.27383	1.5722e-10	11.1757	5.563	4.4648	5.0683	3.0595	9.2522	9.6998	9.9286	12.2032	20.5576	20.3894	14.7331	6.7021	11.188	8.18
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0.30504	1.0441	0.67622	0.040991	0	0	0	0.046605	0.027815	0	0	0	0.13279	0.17706	0.037817
ENSG00000000971	175.5981	87.8729	48.9153	16.049	21.0417	13.8622	0	0.053459	0	0	0	0	169.2726	213.6919	198.8709	15.5531	18.0357	19.9783	0.16927	0	0.0975	0.14524	0.80784	0.37159	1.2102	0.8906	0.87755
ENSG00000001036	76.2122	60.7334	52.3811	71.8554	73.944	90.8309	82.3798	84.2498	87.4454	12.1272	42.9155	43.3667	50.0848	52.6549	41.2201	59.5573	51.3771	59.6957	76.0161	71.1826	73.5486	56.1393	68.127	60.443	85.4848	119.5015	107.2425
ENSG00000001084	121.473	118.4083	106.9339	5.0061	4.9108	5.7777	23.2139	10.3063	21.6842	1.4297	2.9541	1.7464	67.2599	76.7111	54.4951	15.89	14.5396	11.6208	14.318	17.3319	16.0108	38.3304	31.3476	33.7759	15.291	23.0415	17.9439
ENSG00000001167	15.8695	16.4809	16.5048	8.0459	6.7312	12.4573	11.1383	8.5577	15.3028	1.1037	4.724	3.4039	29.0359	26.6586	17.6686	27.1401	25.7519	28.4809	18.8507	19.4652	22.5065	52.9922	43.132	41.5784	25.4842	33.3342	28.6077
ENSG00000001460	6.0823	5.7458	7.225	5.1848	5.2258	7.7445	3.1404	2.6193	2.857	1.9361e-10	1.4528	1.148	2.6354	2.2552	2.8909	7.8883	9.44	7.357	11.9151	12.9895	12.3063	6.951	4.9418	4.9006	3.5684	4.2301	3.9788
ENSG00000001461	14.7336	14.0017	11.7272	29.1258	38.4082	45.6888	2.8341	2.8707	4.5376	1.066	2.3232	2.2346	6.5586	5.5988	5.1238	61.9626	76.9613	59.9162	72.2552	76.0465	64.302	7.1163	6.3745	6.4455	10.5195	14.7829	12.8544
ENSG00000001497	56.4542	67.7123	76.1175	18.0603	15.6303	29.8149	31.2723	44.663	32.6748	3.7404	13.2527	17.1492	25.4933	22.8626	20.6095	35.468	27.7084	32.1196	29.0625	33.3751	30.3059	83.937	66.8356	63.4634	32.4811	31.7899	34.1981
ENSG00000001561	0.83729	0.59143	0.5898	0.67577	1.4566	0.86223	1.4546	0.72267	1.2797	0	0	0.0088946	1.0647	0.76096	0.87912	0.9582	1.2005	1.5863	0.25114	0.18815	0.46085	8.7231	10.0644	8.8649	5.506	13.3462	10.0604
ENSG00000001617	8.3296	10.8774	8.9323	8.6031	10.2631	9.963	5.237	3.0627	8.5694	2.1003	4.8444	5.1704	56.8794	58.56	37.0534	0.13534	0.085754	0.22451	0.12998	0.2386	0.084795	17.8034	37.326	49.3197	4.6062	3.3948	5.8481
ENSG00000001626	1.3143	1.4131	1.1187	0	0	0	33.6419	18.172	34.0209	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01009	0	0.017218	0	0
ENSG00000001629	23.4097	19.8829	18.5906	15.3229	17.8889	12.7647	12.4946	5.474	10.4709	0.52253	1.7659	1.1453	14.3586	14.3259	14.614	35.7887	30.4739	41.1963	16.1847	17.215	18.2009	50.1749	50.0083	44.4745	14.3829	27.3387	21.3447
ENSG00000001630	61.0924	47.9492	44.8108	25.5366	21.3704	19.6152	92.318	32.2236	114.4953	6.682	30.5879	29.4532	97.5825	90.0806	81.0326	99.2431	115.8608	168.3678	71.8579	71.7269	81.8287	58.381	79.7436	69.7172	34.7132	50.9336	48.8315
ENSG00000001631	15.5934	12.6724	14.2122	9.2485	8.4013	14.8261	8.7899	4.3237	14.8194	0.19765	0.083521	0.51747	12.1597	13.2653	5.2765	37.0373	33.5345	43.395	16.4092	21.2542	21.3664	34.0649	28.1291	22.4129	11.8079	22.3093	15.2791
ENSG00000002016	7.4904	7.2851	7.2115	2.0742	2.7861	2.8788	5.4913	4.7786	6.6546	1.0018	1.0711	1.0658	4.5011	4.9923	2.2769	5.2646	3.9396	5.0877	4.0569	3.4903	2.492	11.7179	8.9064	12.0087	3.9438	5.573	5.2108
ENSG00000002330	42.9711	55.7149	41.8042	52.1468	36.5347	50.0714	36.6602	25.8074	36.6236	2.1646	6.8647	10.8375	59.9743	42.1037	45.1575	74.5311	66.5486	62.6257	21.2767	13.3389	10.126	26.2487	40.0239	57.7691	44.4344	23.8409	48.1403
ENSG00000002549	33.5007	35.8483	33.4151	35.7385	39.2103	52.375	29.1167	21.939	44.7945	2.9117	4.0741	2.5996	35.9518	43.8017	31.0074	46.9577	44.9754	43.3993	47.8599	47.0728	50.9608	61.9388	39.6888	36.9122	62.9063	76.557	68.3272
ENSG00000002586	270.4982	241.5416	243.3399	1023.2794	980.7559	901.8929	368.5927	417.3223	377.8567	34.8533	167.6815	147.2849	148.9751	164.0099	155.775	687.7278	688.8138	583.1729	419.6115	415.3927	339.2626	81.4655	106.9771	105.3705	274.2501	215.6162	228.4976
ENSG00000002587	1.4738	0.91275	0.62011	0.01446	0	0.02213	0.34689	0.20506	0.33246	0.023797	0.0049825	0.0050661	7.8382	7.4398	4.6744	0.0093492	0.019717	0.067037	0.14846	0.17054	0.18966	0.020649	0.0076412	0.027192	0.26751	0.24813	0.29286
ENSG00000002726	0.06797	0	0.29308	0	0	0.076011	6.9011	5.8361	8.4579	0	0	0	0.039653	0	0	0.025188	0.071028	0.048548	0.084945	0	0	0.099321	0.13487	0.048375	0	0.04764	0.093831
ENSG00000002745	0	0	0	0.019319	0	0.027877	0	0.13833	0	0	0	0	0	0	0.028962	0.44354	0.3928	0.42127	0	0	0	0.01842	0	0	0.21129	0.10505	0.10446
ENSG00000002746	2.8254	2.357	3.1608	0.85439	1.397	1.4257	0.0047833	0	0.014496	0.29943	0.49958	0	0.0093351	0.81401	0	0.0078637	0.046718	0.021425	0	0.016838	0.44686	0.28453	0.65062	0.64424	0.1107	0.010714	0.26543
ENSG00000002822	8.2639	12.1961	14.3396	12.7814	10.9264	20.2712	13.243	19.3955	15.3198	4.1428	21.1331	31.0226	13.543	9.6108	7.0186	37.5604	33.7543	29.1418	141.7487	118.5262	86.5299	43.6667	39.5625	43.8857	25.2734	18.935	18.561
ENSG00000002834	295.8359	350.2294	362.9075	355.8883	380.9355	283.3704	72.1944	73.165	77.4099	24.1774	95.0399	72.8592	145.8255	163.8252	124.7709	174.154	142.6117	175.1231	81.5338	72.3429	69.6233	175.3759	180.5234	183.5409	135.7401	133.023	123.6274
ENSG00000002919	26.4549	25.6687	23.2568	17.9691	17.63	19.9154	29.1457	28.2979	35.6929	1.4014	4.3158	4.6261	16.0274	17.5607	11.7988	21.8956	21.0036	24.3116	16.6754	19.0275	19.7044	23.4699	19.6228	19.99	21.1118	21.1744	20.5386
ENSG00000002933	0.42681	0.066721	0	0	0	0	11.8587	10.5063	8.0727	0	0	0	0	0	0	0	0	0	0	0	0	4.2624	5.3697	6.8613	0	0	0
ENSG00000003056	144.7059	133.2638	149.6947	50.866	61.7116	83.0584	96.2159	129.5703	155.94	7.3021	39.361	35.4952	136.5605	145.4482	93.9335	115.3026	118.7121	132.273	145.2048	170.4295	160.7689	179.588	155.8325	138.8345	110.7498	122.7849	118.0302
ENSG00000003096	1.0547	0.70755	0.96945	0.34495	0.37433	0.96036	7.5006	3.2248	7.1677	0.048128	0.10478	0.15142	3.0054	2.1614	2.6466	4.6276	4.1679	4.1251	2.4404	2.7104	3.3768	4.0418	5.5186	3.998	6.7957	11.2553	7.8574
ENSG00000003137	4.8546	4.1471	6.3419	2.0496	2.6153	2.2031	0.26881	0.25617	0.57555	0	0	0	0.45597	1.0395	0.33395	0.55227	0.41091	0.17933	0.060936	0.25304	0	8.096	12.1426	13.4226	1.8269	1.6078	2.346
ENSG00000003147	4.716	3.8272	4.5896	0.17355	0.20242	0	1.1404	2.4227	2.4374	0.9561	0.11518	0.043412	42.3494	42.2379	43.8797	5.0043	7.5692	7.5375	8.6933	12.5252	9.7148	1.2607	1.633	1.5586	4.7867	2.5904	3.0621
ENSG00000003249	20.6407	25.808	25.0836	7.4007	6.8708	10.9231	19.3234	25.2287	19.8235	8.5397	23.2745	18.9326	7.0627	8.1679	6.1195	16.4853	17.9859	11.926	13.0693	13.0078	7.7315	7.6185	19.924	22.4456	40.3986	26.2719	36.9835
ENSG00000003393	9.518	6.7859	8.002	11.741	14.2173	15.8	13.0691	7.5812	14.5484	1.181	2.1659	1.6012	9.7731	10.1532	7.7153	16.5364	16.2921	20.9732	16.2291	16.208	18.1465	15.6945	12.8866	11.547	5.6794	10.3996	9.2246
ENSG00000003400	2.4644	2.1992	3.1524	0.86691	1.5412	0.86173	2.059	1.924	2.2515	1.2404	3.2592	3.4192	4.179	5.2302	3.3413	0.23508	0.58505	0.29485	2.1773	2.3579	1.6248	0.3925	0.65862	0.55123	0.05752	0.083855	0.13109
ENSG00000003402	32.22	33.8566	34.3204	25.0949	24.9071	24.5938	14.841	12.4184	24.2009	3.3561	8.13	6.7153	17.9363	22.7842	14.327	25.6442	36.7554	33.0404	26.4766	23.1733	23.0673	31.7298	27.967	34.0208	12.1009	17.6201	14.9382
ENSG00000003436	105.6863	82.2524	72.6169	36.0334	38.2518	62.2252	4.1996	6.5543	5.7067	71.3098	314.9809	253.8486	0.6894	1.5013	1.1382	78.7044	97.2805	85.2607	11.6941	15.569	12.968	43.8265	26.1194	27.9554	8.7396	15.3279	10.5748
ENSG00000003509	17.9763	12.1876	13.3848	6.3627	7.0448	6.3645	20.8771	15.7847	17.3069	3.2669	7.6011	6.509	8.6245	8.5233	6.9346	10.0043	8.337	11.6577	11.5223	15.5161	15.9558	17.3428	18.9002	14.084	9.3403	12.9115	10.1859
ENSG00000003756	24.566	22.8374	21.8868	28.9877	28.3494	29.3308	16.292	13.5569	25.012	1.2753	3.5483	3.2995	27.826	33.8189	16.865	29.9752	38.2172	34.7659	36.9131	38.0311	38.5495	50.3134	40.7332	44.108	30.7814	42.1774	37.5283
ENSG00000003987	0.98541	0.5728	0.61547	0.82671	0.86877	0.40673	0.56226	0.32974	0.43441	0.050544	0.11336	0.12853	1.4047	1.7894	1.3415	0.18418	0.21249	0.33573	0.15817	0.235	0.28653	0.13415	0.21395	0.073538	0.53222	0.65221	0.65436
ENSG00000003989	6.2531	3.7987	2.0468	0.030776	0.040306	0.039916	12.0362	6.4375	13.4194	1.2647	4.4456	3.34	20.8559	28.8081	22.5426	0.71758	0.56467	0.55891	9.717	8.4013	9.624	13.4642	6.4747	5.5908	0.034432	0.027805	0.049711
ENSG00000004059	102.8018	136.6396	123.445	153.0124	127.7888	114.839	154.7952	159.484	137.9352	27.2585	94.4552	86.6308	148.981	124.6094	139.8995	278.951	259.3879	231.2611	69.0356	67.325	35.3718	53.0352	96.5755	121.455	146.836	77.7966	127.307
ENSG00000004139	2.0325	1.6845	1.2577	1.912	2.5381	1.8397	2.5824	6.1553	3.1042	0.15131	0.04632	0.088919	1.4125	1.2392	1.4672	2.6422	2.2038	2.0478	1.5271	1.6243	1.2003	0.42952	0.23225	0.16851	2.614	3.3005	2.8064
ENSG00000004142	156.307	172.071	184.017	83.1918	85.0552	105.757	231.5483	424.2914	287.1147	11.819	49.3395	49.0728	95.8307	88.4533	73.8617	136.4563	111.295	116.713	84.5466	79.34	78.9886	89.7297	69.0746	73.9529	157.031	155.353	168.522
ENSG00000004399	47.0258	51.9428	55.3152	102.9131	97.8647	93.2667	12.5839	18.8137	21.7956	18.2869	24.2238	29.2492	2.2573	3.1885	1.885	24.432	19.55	19.116	4.1884	3.2423	3.9372	30.1348	47.6977	54.6114	61.7027	52.9058	47.5248
ENSG00000004455	120.5308	125.8619	138.7352	95.8575	86.9248	137.7436	197.0262	285.6612	234.5344	15.6327	51.0711	53.5518	183.8151	170.2793	144.43	207.4574	183.7997	187.2611	356.1709	372.0038	365.2698	212.9334	142.9761	146.968	221.5736	216.2898	226.237
ENSG00000004468	8.7936	5.5191	3.3993	0.01373	0.021739	0.014951	0	0	0.013188	0.016899	0	0.02911	0.031772	0.055824	0.069966	0.33595	0.014143	0.23502	0.017025	0	0.024412	0.06913	0.010969	0.078015	0.077619	0.028125	0.028009
ENSG00000004478	110.7298	113.5298	125.8195	28.8299	26.0232	39.9237	50.5626	93.4921	73.4403	5.8708	17.8073	20.1686	79.0654	83.6585	58.4213	66.4773	58.9462	66.6015	51.1274	57.4662	60.6018	224.747	179.0659	155.3682	131.9387	136.311	133.3976
ENSG00000004487	58.8101	55.7104	69.648	50.6345	45.3016	55.2071	48.6214	52.7788	49.6694	7.6601	28.0967	24.5875	64.4734	85.7465	62.8651	64.7364	58.54	61.3418	112.1495	134.6283	126.1157	94.9046	111.6249	103.0425	57.79	69.067	57.8444
ENSG00000004534	13.7775	13.2012	17.1493	13.9055	15.1492	18.3291	21.7658	19.1252	24.7665	2.0882	8.0403	12.0062	19.5798	31.4756	17.0799	9.4429	7.7292	9.5172	18.9857	19.7484	20.4139	36.4003	32.1624	32.9073	31.2868	29.2812	29.0537
ENSG00000004660	6.2533	9.3747	10.2065	2.5812	1.7647	3.4744	2.9012	2.4475	2.9394	0.11652	0.3752	0.16737	3.3926	2.6245	1.9187	1.5131	1.3356	1.0647	1.5253	1.4012	1.2249	6.9838	8.4548	9.0965	2.681	1.7541	1.917
ENSG00000004700	55.5803	57.3387	59.1106	20.0707	20.2759	40.8737	18.589	13.2984	33.6106	0.61779	1.2438	1.2345	20.3233	18.4653	8.8047	52.0384	40.4871	63.6215	57.8154	54.9279	65.7628	77.1092	70.0448	61.36	49.6879	80.5936	61.7377
ENSG00000004766	13.5769	12.0521	9.0325	8.5927	11.302	9.1268	11.2313	5.2612	9.9359	0.47011	0.76455	0.28572	9.2564	9.3975	7.754	23.4204	24.4312	31.1247	17.0353	17.2244	19.0082	22.139	22.406	21.0968	10.4594	17.7873	14.9222
ENSG00000004776	0.16578	0.55298	0.90477	152.67	130.6646	104.414	0.28911	0.73292	0.4105	0.23605	0.3283	0.62442	0.035028	0.10897	0.034386	0.060024	0.062689	0.085636	0.1876	0.068153	0	0.48204	0.97225	0.60503	0.17201	0.79483	0.45544
ENSG00000004777	0.70487	1.3156	1.7223	0.5393	0.34725	1.1654	1.5903	0.67905	0.92978	0.14065	0.43238	0.69997	0.54207	0.66525	0.13809	2.6879	1.1684	1.7128	1.0307	0.93874	0.39346	0.65147	2.5302	2.7894	2.4772	1.4976	3.2647
ENSG00000004779	152.4727	143.228	123.3672	71.2607	69.872	79.183	107.1284	102.7889	94.6306	28.5216	74.8142	56.104	138.3673	103.6702	117.086	126.6663	122.2352	137.7343	187.893	150.8944	179.2079	128.9018	117.8155	106.7591	118.4294	124.6927	133.7666
ENSG00000004799	101.835	65.9275	40.3654	0.039169	0.070627	0.024279	0.030793	0	0	0.006828	0.011141	0	2.7475	2.1481	5.1888	1.9194	2.3909	1.9953	0.48367	0.92052	0.50523	1.1927	1.8341	2.6141	0	0.18306	0
ENSG00000004809	0	0	0	0.032404	0	0	0	0	0	0	0	0	0	0	0	0.10574	0.38706	0.46148	0	0	0	0.34065	0.034317	0	0	0.033567	0
ENSG00000004838	0.40625	0.39534	0.31384	0.60101	0.18724	1.1057	0	0	0.032278	0.010462	0.027894	0.077885	0.094054	0.18178	0.039089	0.59843	0.91112	0.79488	1.8276	1.8823	1.0417	0.73275	1.5191	1.0524	0.33467	0.12259	0.11061
ENSG00000004846	0.10206	0.043374	0.07078	0.055855	0.029295	0.040456	0.078553	0	0.053597	0.0041173	0.01951	0.088427	0.042742	0.037917	0.05204	0.072726	0	0.053772	55.758	75.6292	76.5962	0.18073	2.2414	1.6092	0	0.044969	0.036032
ENSG00000004848	1.5921	1.0985	0.83709	0	0	0	0.067057	0.10491	0.18972	0.60253	0.15109	0.1624	0	0	0.015964	0	0	0	0	0	0	0	0	0.065993	0	0	0.019196
ENSG00000004864	35.5364	31.3037	32.129	4.4376	4.0774	4.4058	37.9718	32.1678	48.2302	2.6911	8.6073	10.551	25.2281	23.7313	16.6313	43.029	39.7082	47.9973	41.6198	41.3571	45.404	60.2931	61.0568	53.1975	21.3977	27.8492	24.2078
ENSG00000004866	28.3403	26.2765	23.0862	13.4883	14.4464	15.7369	32.3424	26.4726	28.593	3.7546	11.8543	8.0774	20.1189	22.2413	25.306	37.7582	33.9949	34.399	45.1811	55.6517	57.7515	16.4582	13.66	13.1318	20.053	24.2831	22.5757
ENSG00000004897	82.9532	77.3926	70.5721	33.8223	32.7248	49.24	29.3657	16.3561	37.9818	2.3527	7.7117	7.1593	37.5142	30.7799	24.5118	71.9299	57.8691	80.5262	70.809	66.9251	81.3979	91.9947	88.2004	75.6597	45.3083	72.9239	62.4707
ENSG00000004939	0.042311	0.20318	0.26913	0.093985	0	0.1377	0.22845	0.11664	0.12224	0.60275	0.12424	0.22848	0.073453	0.19301	0.10621	0	0.13349	0.11682	0.11567	0	0.10532	0.29061	0.050625	0.34076	0.17615	0.22072	0.043687
ENSG00000004948	0.029876	0.014261	0	0	0	0	0.013061	0	0	0	0	0	0.02542	0	0.037317	0	0	0	0.040025	0	0.01464	0	0.052632	0.050734	0	0	0
ENSG00000004961	62.1858	57.8135	59.6615	31.021	35.897	42.3586	39.2846	39.2843	42.785	1.2318	3.9578	2.9452	37.1145	34.2241	31.1597	35.8672	39.2592	40.832	45.6042	36.0184	44.0803	31.5554	28.8794	21.8326	34.8767	37.6996	36.657
ENSG00000004975	24.7222	29.6814	34.1381	17.2962	15.7898	22.8737	27.2953	17.2817	31.0965	1.7305	6.5787	7.6278	23.0768	20.5589	13.1471	63.8119	46.3065	51.545	46.0553	51.45	35.2432	17.6705	28.1808	34.0755	44.0283	33.817	49.7074
ENSG00000005001	0	0	0	0	0	0	15.8093	12.5685	24.3681	0	0	0	9.5112	10.2526	7.4614	0	0	0	0	0	0	0	0.05165	0	0	0	0
ENSG00000005007	13.7383	18.6865	15.9872	20.1975	15.5515	24.3088	12.5489	8.8976	24.774	0.7362	1.7551	1.6172	34.0513	28.145	13.4974	32.8172	27.2817	31.4326	30.2142	25.742	18.7379	14.2458	17.7486	21.3287	27.7449	17.7969	29.3328
ENSG00000005020	26.0266	18.8117	16.5193	10.2385	11.3375	9.4156	13.2709	6.5206	13.1225	0.85426	1.4115	1.49	15.8238	15.7805	13.8242	40.1444	38.86	42.651	32.7361	33.702	38.9004	0	0.047435	0.056301	9.3267	15.1736	10.9478
ENSG00000005022	710.679	728.83	705.389	141.367	126.102	277.754	388.147	329.925	573.995	26.5196	70.1982	51.0065	655.358	552.59	436.387	469.788	335.979	427.705	958.972	875.752	868.137	560.701	574.426	574.92	860.614	897.594	926.915
ENSG00000005059	16.5598	16.839	16.8158	6.8934	6.577	9.2179	0.80495	0.84377	0.76114	0.84796	2.3168	2.3706	16.0468	10.5238	14.4745	18.4147	13.7782	19.3747	10.973	8.6383	12.075	17.8602	13.1623	11.3657	22.8228	35.7857	32.079
ENSG00000005073	0.47952	0.18773	0.24916	41.2218	40.4556	40.9658	1.0004	0.90905	0.97913	0.035558	0.038805	0	10.8995	13.2765	8.7999	0.6392	0.67071	0.74274	0.29051	0.21877	0.13058	9.6229	8.9399	9.2891	0.44289	0.72471	0.55951
ENSG00000005075	91.0574	105.7432	109.3898	81.0403	74.1418	114.6981	92.2042	101.456	78.8864	24.594	105.4575	134.4788	108.5427	113.4449	107.2435	276.2736	228.5388	212.2856	71.5388	67.2398	56.7765	190.6538	203.8238	229.4071	138.365	103.4101	118.213
ENSG00000005100	19.1584	21.9873	24.4136	5.0069	5.1881	7.3708	8.4174	7.0754	10.0944	4.9065	6.8789	6.6122	8.5475	6.2636	5.0571	13.3152	14.1087	16.579	34.2313	37.8522	38.6576	22.9795	13.8914	13.647	16.0983	23.1498	23.3086
ENSG00000005102	0	0	0	0.061001	0	0	0.048145	0	0.078306	0	0	0	0	0	0	0	0	0	0	0	0	0.33974	0.6497	0.66385	0	0	0.061519
ENSG00000005108	18.0357	13.6347	11.1495	0.010893	0.013275	0	0	0	0.0069086	0	0	0	0.0097195	0.00859	0.028488	0.056325	0.073826	0.098909	0.010787	0	0.028772	0.015558	0.040127	0.029789	0.061147	0.057146	0.051322
ENSG00000005156	18.2053	20.8231	24.3527	7.488	4.9961	9.8786	4.9506	7.0585	11.6883	0.69474	2.5245	2.6559	11.5538	9.6585	5.2402	25.704	19.6371	23.775	29.8828	25.8847	28.8767	22.758	18.4907	18.5149	17.1303	17.5481	18.8065
ENSG00000005175	45.5849	39.9099	37.4798	16.3843	16.8599	15.6193	48.7737	28.5382	45.2925	1.1639	3.1913	3.3368	30.8198	30.5437	27.7301	29.8374	26.1328	37.1781	27.3861	23.9885	30.7843	59.7261	46.0672	36.8701	19.7013	34.4466	29.0144
ENSG00000005187	20.6418	13.4901	11.0389	0.36703	0.16866	0.27362	4.1972	4.0499	5.4137	2.3988	6.0398	2.9641	1.169	2.2755	2.1268	0.43292	0.2931	0.62517	2.8255	4.1329	2.8432	0.98225	1.6161	1.5675	0.30565	0.23938	0.37685
ENSG00000005189	3.9217	2.7193	2.914	1.6447	0.53145	5.2912	2.0928	2.4782	2.8281	0.46842	0.68815	0.42207	2.3571	0.80599	0.65178	11.5887	6.589	10.8665	4.2745	4.575	4.0309	5.2332	5.2611	5.5883	3.3908	3.57	3.0263
ENSG00000005194	80.9929	87.8875	88.7856	36.1004	35.0255	47.7183	54.2715	61.8455	66.1141	4.4408	12.3596	9.9702	50.8486	48.5334	35.2717	67.7197	67.5001	71.3471	44.7589	46.4064	50.2973	76.2077	66.3474	67.626	50.33	49.8772	45.1145
ENSG00000005206	4.2764	5.724	5.031	9.7502	5.1818	6.3738	6.308	2.777	7.6208	1.3201	2.4554	4.301	5.8838	5.4556	3.6192	9.2747	8.1736	10.1963	8.4987	5.7931	3.2675	1.5565	2.8636	4.3307	9.2401	3.7545	8.4879
ENSG00000005238	7.708	6.8546	8.3179	24.0376	21.101	28.0177	2.109	1.7628	2.7695	0.32077	1.2871	0.88439	1.0772	1.5852	0.90408	20.2505	17.8806	13.7412	31.7948	30.7715	25.3619	8.0775	12.4995	13.0886	12.1101	12.032	12.5614
ENSG00000005243	20.5079	23.2046	23.4405	164.7106	160.9813	129.0558	1.1103	0	0.87203	0.032486	0	0.070906	0	0	0.14914	80.627	67.6315	75.4995	18.9833	19.5842	21.0673	13.8945	13.3111	16.395	0	0	0
ENSG00000005249	6.0179	4.1196	2.9686	3.6879	3.8826	4.3667	0.16404	0.019753	0	0.078051	0.01061	0.011159	0.055166	0	0.048072	21.9832	22.8032	33.0244	10.1039	7.2932	12.1353	23.1546	19.509	13.8816	5.3244	12.5734	9.9104
ENSG00000005302	23.7335	19.6361	20.5491	13.3363	14.4622	15.8278	6.0146	6.0635	6.7577	0.7465	0.85729	0.60511	15.6286	16.532	15.1973	11.4488	10.205	10.8863	14.9555	16.1373	13.3569	20.3913	23.0619	22.1254	14.5862	16.6022	15.2548
ENSG00000005339	16.3452	16.3338	17.531	9.8947	11.5667	17.1993	6.9588	4.2239	13.2092	0.62916	2.3516	1.6856	6.2068	6.6247	3.123	18.3868	15.421	20.0587	16.2658	17.6162	15.3808	26.977	30.7226	32.3049	7.1774	10.2724	9.5196
ENSG00000005379	0	0	0	0.89038	0.87513	0.70164	2.0982	1.1453	1.4881	0	0	0	0.027746	0.073062	0.022169	0	0	0	0	0	0	0.47091	1.1444	1.3616	0.21456	0.24475	0.090518
ENSG00000005381	0	0	0	0	0	0	0	0.023254	0.024016	0	0	0	0	0	0	0	0	0.017548	0	0	0	0	0	0	0	0	0
ENSG00000005421	0.1757	0.13416	0	0	0	0	0	0	0	0.019424	0.15862	0.3248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	16.6514	12.4308	4.7931	11.3205	9.4561	4.1558	17.3234	18.2025	7.3529	5.5901	19.3693	25.6189	10.2309	8.0265	14.0177	7.1408	7.864	8.7515	13.7343	14.5093	16.3819	21.472	13.0065	14.0355	8.4508	19.4389	19.2652
ENSG00000005448	60.0242	68.754	73.4158	19.4802	15.3181	29.9218	5.8199	7.7475	7.5369	0	0.84641	0.876	29.8009	23.6566	23.8645	51.5205	52.6138	42.0061	46.017	49.94	37.9265	63.8334	68.3918	82.7778	72.5282	63.229	71.1326
ENSG00000005469	15.8306	13.1575	10.4245	9.2563	10.266	10.8981	9.8254	3.7772	6.9735	0.71174	2.9387	1.6026	31.1525	41.1326	34.1621	23.6434	22.7686	26.7147	8.4277	10.4062	11.5341	10.3691	10.0381	9.1182	8.0537	13.2064	10.8649
ENSG00000005471	0.53286	0.081934	0.048178	2.4544	1.7714	0.65245	0.039082	0.060045	0.17707	1.1686	2.1893	3.2139	0.049771	0.022042	0.02909	43.01	64.3262	56.4935	0.095242	0.14831	0.070886	1.6703	4.0529	3.7876	0.68388	0.54446	0.22642
ENSG00000005483	20.379	19.1971	20.4002	12.1582	13.3935	13.7331	8.6877	4.8579	10.3391	1.9125	1.3147	1.06	16.9051	15.997	10.0051	29.5216	31.1449	33.4636	15.2904	22.0088	19.819	39.1778	48.0005	44.0633	16.6354	22.8127	20.1311
ENSG00000005486	58.3974	64.1424	51.6634	31.4884	28.2742	26.6339	36.0254	45.7265	27.4573	6.4885	20.425	19.0402	36.9222	42.1598	52.6596	42.795	39.5695	34.4777	22.4864	27.187	19.8662	28.8142	43.7549	49.3716	48.4511	27.6739	41.6385
ENSG00000005513	0.46806	0.59972	0.28057	0.11994	0.083834	0	1.1487	1.3049	1.1793	0.040415	0.27718	0.2913	0	0	0	1.2202	0.70954	0.99638	1.1607	0.66351	0.66086	0.32404	0.83148	0.89021	0	0	0
ENSG00000005700	23.1907	19.0566	18.5217	8.3397	8.2314	7.2222	6.3946	4.6145	11.3536	0.35723	0.26872	0.18884	8.789	8.0366	4.3749	11.2725	11.7082	14.112	13.8919	11.8231	13.7056	9.2714	8.7018	8.0191	8.697	16.3664	15.6571
ENSG00000005801	17.2152	14.7944	15.8389	7.0971	8.5609	11.2085	24.2273	16.1494	20.8053	2.3195	6.2279	5.4943	27.8683	26.4181	20.9058	11.5075	10.6185	15.3702	12.7901	18.0264	13.5824	16.6134	16.5778	15.4866	7.945	11.707	9.0755
