	A549 P3	A549 P4	A549 P6	BJ P5	BJ P6	BJ P8	Caco2 P7	Caco2 P8	Caco2 P9	Hep2G P4	Hep2G P5	Hep2G P7	RT4 P4	RT4 P6	RT4 P7	SK-Mel 24 P10	SK-Mel 24 P8	SK-Mel 24 P9	SK-Mel 28 P10	SK-Mel 28 P8	SK-Mel 28 P9	U2-OS P5	U2-OS P6	U2-OS P7	U251 P4	U251 P5	U251 P6
ENSG00000187626	2.628	2.6611	2.0578	3.3465	3.0852	2.7372	5.6211	2.9652	5.2717	0.39097	0.93326	1.0445	3.0106	3.3951	2.1206	3.4342	4.161	4.2601	2.7298	3.0139	3.0351	3.5034	4.0689	4.6846	2.9529	3.8023	3.3868
ENSG00000187627	0.025768	0.044906	0.052403	0	0	0	0.055478	0.034689	0.13119	0	0	0.037066	0	0	0	0.37692	0.92245	1.5558	0	0	0	0	0.04376	0.037216	0	0.043787	0.035665
ENSG00000187630	25.2784	26.948	31.0398	37.917	38.8156	29.0714	14.5643	12.277	15.8183	13.1362	45.2899	41.8354	18.2782	22.6296	21.9672	21.429	20.478	19.7715	16.9694	16.5614	16.0871	15.2068	20.5717	17.163	13.3657	15.2164	13.4413
ENSG00000187634	8.3767	15.5624	12.2545	15.7366	0.55026	10.0594	0.89845	0.22743	1.0091	0.20557	0.2448	0.54675	0.094661	0.05096	0.057417	0.52216	0.051276	0.2351	0.060877	0.10554	0	2.2283	11.5228	18.6966	5.3288	2.7952	5.8668
ENSG00000187642	0	0	0.043177	0.27785	0.064662	0.22084	0.07281	0.076126	0.14611	0.34253	0.12365	0.13043	0.094684	0.16736	0.18502	0.11951	0.084171	0.057188	0.025361	0.045423	0.054308	0.058755	0.1303	0.05804	0.15398	0.027835	0.1111
ENSG00000187650	0.50191	0.69504	0.7043	1.0297	1.334	0.84864	0.97989	0.42569	0.63849	0.29077	0.35837	0.43704	0.89421	0.83324	0.97667	1.9205	2.0149	1.6926	2.7851	3.297	2.4538	0.55254	0.17716	0.13279	1.1848	1.7038	1.497
ENSG00000187658	0	0	0	0.12296	0	0	0.19485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187664	0	0.015046	0.024562	0.10505	0.11012	0.050487	0.068896	0.1294	0.044529	0.12059	0.10418	0.073027	0.013407	0.023754	0.013123	0.068158	0.023897	0.032538	0.057453	0.025864	0.015447	0.033381	0.12957	0.082383	0	0	0
ENSG00000187672	0	0	0.010976	0	0	0	0.081167	0.026051	0.052805	0	0.0059331	0	0	0	0	0.010149	0	0.0072697	0	0	0	0.83475	1.1427	1.0168	0.10529	0.3228	0.19306
ENSG00000187676	7.3728	6.8472	5.4205	6.2894	5.7992	6.2512	3.7585	3.1237	3.8448	0.34148	1.2805	1.0934	3.2725	3.5825	3.034	7.6803	5.4146	7.1057	10.6557	12.8814	12.9442	11.2397	12.1094	10.4427	7.9551	12.7021	9.8801
ENSG00000187678	5.5511	3.8831	4.6042	12.1337	8.9352	14.3639	3.3678	5.2435	3.851	1.7163	7.0685	5.073	12.0531	12.6892	4.8956	34.126	41.1333	36.8446	47.353	52.6076	50.0196	0.11513	0.12651	0.14644	14.7199	17.1805	16.105
ENSG00000187682	0	0	0	0	0	0	0.085684	0.066772	0.069611	0	0	0.22063	0	0	0	0.071316	0	0	0	0	0	0.051969	0.057654	0.20494	0	0.09936	0.049094
ENSG00000187688	0.039379	0.16185	0	4.2608	4.8465	8.3785	0.043345	0.10273	0.38673	0.90089	4.7892	6.6372	0.46898	0.62541	0.40469	40.5985	24.5247	20.7031	235.8111	259.8477	195.9022	0.63876	0.13871	0.18771	0.84226	1.5684	1.2265
ENSG00000187689	0.063235	0	0	0	0	0	0	0	0	0	0	0	0.16087	0	0	0	0	0	0	0	0	0.30506	0.11287	0.13159	0	0	0
ENSG00000187690	0	0	0	0	0	0	0	0	0	0	0	0	0.05071	0	0	0	0	0	0	0	0.058656	18.8321	26.2595	27.5739	0	0	0
ENSG00000187695	0.077974	0.023512	0	0	0.028789	0	0.064626	0.033652	0.27893	0	0	0	0	0	0.021655	0.081349	0	0.025476	0.072091	0.081015	0.072523	0.10446	0.094955	0.29032	0.034148	0.074547	0.074011
ENSG00000187699	0.60458	0.50598	0.65086	0.074066	0.23093	0.042666	1.8273	1.0411	1.2246	0.14194	0.65763	0.5493	45.2735	45.6016	44.39	0.31967	0	0	1.83	2.2519	1.8077	0.15867	0.92329	0.36162	0.26261	0.15441	0.39458
ENSG00000187701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187713	43.7445	48.0207	45.2521	39.1541	36.7855	39.029	42.3685	42.639	39.9721	4.7687	18.1263	17.0324	35.346	27.7861	33.9225	50.3877	52.2064	49.5056	24.8011	24.5812	22.031	33.8954	33.2369	35.3906	48.493	41.7777	43.5959
ENSG00000187714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024544	0	0.024223	0	0	0
ENSG00000187715	0	0	0	0	0.015183	0	0.014497	0	0.073759	0.10788	0.009664	0.020185	0.086338	0	0.012009	0	0.05931	0.013907	0	0	0.012774	0.013909	0	0.027267	0	0.013878	0
ENSG00000187720	51.3974	44.4985	36.2691	25.4642	31.7864	13.4219	0.074158	0.10939	0.087898	0.0071947	0.049127	0.030841	4.476	6.0823	4.8165	7.6083	10.3698	8.9808	1.7951	0.91795	0.95945	0.57708	1.1659	1.1538	11.8041	15.9088	16.1471
ENSG00000187726	0.44661	0.26726	0.19868	0.21932	0.252	0.19892	0.42139	0.41114	0.33017	0.18388	0.064968	0.20716	0.47523	1.0076	0.26416	1.6885	0.89765	2.1422	0.028049	0	0.21692	0.52504	0.5289	0.89508	0.34498	0.46869	0.18757
ENSG00000187730	0.14966	0.34256	0.09332	0	0	0	0.078388	0	0.04232	0	0	0	0	0	0	0	0	0	0.19024	0.049173	0.088035	0.15835	0.59716	0.59367	0	0	0
ENSG00000187733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187735	203.1933	175.3607	176.4537	88.7024	71.9591	57.4754	161.5419	89.0381	134.6423	5.7385	21.9087	16.0126	87.2845	65.0203	91.8448	104.3245	93.1624	143.4874	143.5662	90.9623	149.8665	126.5192	125.9418	101.7037	164.6915	249.8086	238.2191
ENSG00000187736	11.0511	11.2201	9.6202	9.7083	9.7485	9.8926	32.0222	26.6897	33.6569	1.6902	9.5061	7.544	10.3409	8.2601	7.3922	14.3748	13.1671	11.7457	23.949	25.0978	23.9318	18.4684	15.9193	13.021	9.7863	11.2791	13.1454
